sepal_length,sepal_width,petal_length,petal_width,species,cluster_id,mapped_species,is_correct,pca_component_1,pca_component_2
5.1,3.5,1.4,0.2,Iris-setosa,1,Iris-setosa,1,-2.2645,0.5057
4.9,3.0,1.4,0.2,Iris-setosa,1,Iris-setosa,1,-2.0864,-0.6554
4.7,3.2,1.3,0.2,Iris-setosa,1,Iris-setosa,1,-2.368,-0.3185
4.6,3.1,1.5,0.2,Iris-setosa,1,Iris-setosa,1,-2.3042,-0.5754
5.0,3.6,1.4,0.2,Iris-setosa,1,Iris-setosa,1,-2.3888,0.6748
5.4,3.9,1.7,0.4,Iris-setosa,1,Iris-setosa,1,-2.0705,1.5185
4.6,3.4,1.4,0.3,Iris-setosa,1,Iris-setosa,1,-2.4457,0.0746
5.0,3.4,1.5,0.2,Iris-setosa,1,Iris-setosa,1,-2.2338,0.2476
4.4,2.9,1.4,0.2,Iris-setosa,1,Iris-setosa,1,-2.342,-1.0951
4.9,3.1,1.5,0.1,Iris-setosa,1,Iris-setosa,1,-2.1887,-0.4486
5.4,3.7,1.5,0.2,Iris-setosa,1,Iris-setosa,1,-2.1635,1.0706
4.8,3.4,1.6,0.2,Iris-setosa,1,Iris-setosa,1,-2.3274,0.1586
4.8,3.0,1.4,0.1,Iris-setosa,1,Iris-setosa,1,-2.2241,-0.7091
4.3,3.0,1.1,0.1,Iris-setosa,1,Iris-setosa,1,-2.6397,-0.9383
5.8,4.0,1.2,0.2,Iris-setosa,1,Iris-setosa,1,-2.1923,1.89
5.7,4.4,1.5,0.4,Iris-setosa,1,Iris-setosa,1,-2.2515,2.7224
5.4,3.9,1.3,0.4,Iris-setosa,1,Iris-setosa,1,-2.2028,1.5138
5.1,3.5,1.4,0.3,Iris-setosa,1,Iris-setosa,1,-2.1902,0.5143
5.7,3.8,1.7,0.3,Iris-setosa,1,Iris-setosa,1,-1.8941,1.4311
5.1,3.8,1.5,0.3,Iris-setosa,1,Iris-setosa,1,-2.3399,1.158
5.4,3.4,1.7,0.2,Iris-setosa,1,Iris-setosa,1,-1.9146,0.4305
5.1,3.7,1.5,0.4,Iris-setosa,1,Iris-setosa,1,-2.2046,0.9525
4.6,3.6,1.0,0.2,Iris-setosa,1,Iris-setosa,1,-2.7742,0.4895
